t,omega_fw1,omega_fw2,omega_fw3,omega_fw4
43466.3380371732,657.200694026263,820.257747744135,882.389118620697,995.576069149676
43489.9381121206,657.445305336036,816.715621530387,885.430744908862,996.30388849157
43513.5381870679,657.807105689911,813.23003549312,888.401298782668,996.920765253299
43537.1382620153,658.286078426859,809.803399984428,891.298682159668,997.426081750457
43560.7383369626,658.882133860571,806.438096216098,894.120835888857,997.819287881232
43584.5384125452,659.601650061736,803.10877362849,896.888667315779,998.101797569322
43608.1384874925,660.432295501762,799.873721695883,899.553667491807,998.26844731866
43631.7385624399,661.379309892727,796.706973782288,902.137492344548,998.321746327774
43655.3386373873,662.442307398513,793.610778485713,904.638253209168,998.261422336988
43678.9387123346,663.620827616439,790.587347359749,907.054107537148,998.087273995902
43702.538787282,664.914335375156,787.638853327663,909.383260318403,997.799171442525
43726.3388628645,666.334638651196,784.743430339055,911.64257168226,997.393161895204
43749.9389378119,667.857176470712,781.951846477781,913.792362538596,996.876084186254
43773.5390127593,669.492639491618,779.241488001829,915.850352458399,996.245097986452
43797.1390877066,671.240191580134,776.614357074897,917.81495111487,995.500365166403
43820.739162654,673.098921410793,774.072409303807,919.684622720473,994.64212149612
43844.3392376014,675.067842507144,771.617552167418,921.457887391758,993.670677020368
43868.1393131839,677.163967061318,769.231978677976,923.147099113244,992.576746922401
43891.7393881312,679.350921251444,766.957601602421,924.722494338057,991.379179720275
43915.3394630786,681.644646862972,764.775747863152,926.19738103902,990.069795524007
43938.939538026,684.04385748897,762.68811640806,927.570516818327,988.649205090999
43962.5396129734,686.547192458877,760.696350320735,928.84072177684,987.118094736516
43986.1396879207,689.153217158857,758.802035312895,930.006879772042,985.4772264625
44009.9397635032,691.883793724078,756.99191070306,931.076479715369,983.712146448429
44033.5398384506,694.691437274626,755.297875377503,932.030553505489,981.85344027111
44057.139913398,697.597012682798,753.705700848175,932.877619180422,979.887725613409
44080.7399883453,700.598827291582,752.216735462145,933.616815259968,977.81603855164
44104.3400632927,703.69518222786,750.83227859368,934.247324318775,975.639432882798
44127.9401382401,706.884220233911,749.553546290368,934.768431354502,973.359113817733
44151.7402138226,710.192187679188,748.372215569062,935.182505559016,970.955738074103
44175.34028877,713.561474162774,747.309227802861,935.482014103195,968.471066565849
44198.9403637173,717.01742699178,746.355210745041,935.670408119051,965.886768235127
44222.5404386647,720.557909413555,745.511102687846,935.747266532421,963.204350476568
44246.1405136121,724.180717825871,744.77776963123,935.712243751146,960.425394423421
44269.7405885594,727.883582716734,744.156004087087,935.565070535933,957.551554486689
44293.5406641419,731.696533836887,743.642688001686,935.302875098456,954.559020819681
44317.1407390893,735.553072447493,743.247094854315,934.929949515937,951.49990050411
44340.7408140367,739.48245264629,742.96499891007,934.444531983038,948.351309925167
44364.3408889841,743.482151269285,742.796886897022,933.846667159477,945.115191481511
44387.9409639314,747.549584785067,742.743166678838,933.136479728519,941.793557697177
44411.5410388788,751.682110570869,742.804166318106,932.31417497874,938.388490417736
44435.3411144613,755.912837161269,742.982116245006,931.371646046573,934.872253561756
44458.9411894087,760.167883422318,743.274192381454,930.325104730958,931.306177357492
44482.541264356,764.479729101827,743.681485512298,929.167554744546,927.663339820093
44506.1413393034,768.845508678906,744.203995461504,927.899529190558,923.946091378914
44529.7414142508,773.262304803424,744.841638360886,926.521643829006,920.156846837377
44553.3414891981,777.727149923019,745.594246047779,925.034597300598,916.298084194794
44577.1415647807,782.27543098025,746.469404969755,923.425190013044,912.338795599571
44600.741639728,786.827621580594,747.452065510587,921.72134210745,908.348142962148
44624.3417146754,791.41864795566,748.548671558051,919.910935862472,904.29579541636
44647.9417896228,796.045358866584,749.758712309712,917.995003028758,900.184471121063
44671.5418645701,800.704561935827,751.081590642262,915.974658322187,896.016944523861
44695.1419395175,805.393025643389,752.516622919215,913.851099220255,891.796044774102
44718.9420151,810.147536043141,754.076617668275,911.606313818647,887.488248436883
44742.5420900474,814.884858322859,755.734493122327,909.279401664677,883.168909920886
44766.1421649947,819.641504335501,757.501943386034,906.853373486462,878.805022447892
44789.7422399421,824.414106981375,759.37793765257,904.329754874071,874.399617054474
44813.3423148895,829.199346545924,761.361375503353,901.710122813267,869.955704613568
44836.9423898369,833.993903869274,763.45107895768,898.996122699852,865.476314968239
44860.5424647842,838.794335634712,765.6457636654,896.189515768301,860.964607638996
44884.3425403667,843.637881227472,767.963976099671,893.267204277851,856.385183975249
44907.9426153141,848.439629866617,770.365290046402,890.280232759571,851.818267923819
44931.5426902615,853.236779968538,772.867210422091,887.206419129461,847.228767177803
44955.1427652088,858.025819478351,775.468114961368,884.047831926652,842.619986200609
