t,x,y,yaw
27.783,2.0866,-1.794,0.2763
27.85,2.1176,-1.7861,0.2228
27.919,2.1452,-1.7805,0.1734
27.987,2.1698,-1.7764,0.1276
28.054,2.193,-1.7736,0.0855
28.123,2.2141,-1.7718,0.0471
28.19,2.2338,-1.7707,0.0122
28.259,2.2507,-1.7707,-0.0196
28.326,2.2666,-1.7701,-0.0476
28.395,2.2822,-1.7702,-0.0734
28.463,2.2927,-1.7711,-0.0951
28.531,2.3016,-1.7721,-0.1127
28.6,2.3138,-1.7706,-0.1268
28.668,2.3283,-1.7707,-0.1397
28.74,2.3362,-1.7723,-0.1483
28.808,2.3406,-1.773,-0.1525
28.876,2.3443,-1.7735,-0.1525
28.944,2.3469,-1.7739,-0.1483
29.012,2.3508,-1.7728,-0.1402
29.08,2.3723,-1.7697,-0.1312
29.148,2.379,-1.7706,-0.1193
29.216,2.3808,-1.7711,-0.1033
29.284,2.3785,-1.7705,-0.083
29.353,2.3746,-1.7702,-0.0582
29.421,2.3735,-1.7702,-0.03
29.489,2.3746,-1.7702,0.0016
29.558,2.3773,-1.7701,0.0374
29.626,2.3856,-1.767,0.0756
29.711,2.4117,-1.7581,0.1238
29.779,2.4176,-1.758,0.164
29.847,2.4318,-1.7554,0.2071
29.915,2.4334,-1.754,0.2531
29.983,2.4437,-1.7523,0.302
30.068,2.4954,-1.6718,-2.1389
30.136,2.5234,-1.6421,-1.9918
30.204,2.5461,-1.5859,-1.8496
30.272,2.5562,-1.5366,-1.708
30.34,2.5567,-1.5233,-1.5657
30.408,2.5513,-1.4962,-1.4247
30.476,2.5363,-1.4309,-1.2838
30.561,2.5041,-1.3499,-1.1058
30.629,2.4689,-1.2904,-0.9624
30.698,2.4252,-1.236,-0.8178
30.765,2.3894,-1.2018,-0.6731
30.833,2.3655,-1.1853,-0.5273
30.901,2.3548,-1.1803,-0.3799
30.969,2.3527,-1.1796,-0.2299
31.038,2.3588,-1.1805,-0.0774
31.106,2.372,-1.1745,0.0788
31.174,2.385,-1.1584,0.2322
31.242,2.3962,-1.1428,0.3856
31.31,2.4057,-1.1278,0.539
31.378,2.4138,-1.1137,0.6923
31.463,2.432,-1.0933,0.8812
31.548,2.441,-1.0808,1.0681
31.616,2.4557,-1.0515,1.2148
31.684,2.4528,-1.0462,1.3581
31.753,2.4524,-1.0601,1.5005
31.821,2.4529,-1.0377,1.6376
31.906,2.4509,-1.0207,1.805
31.975,2.4373,-0.9937,1.9384
32.044,2.4315,-0.9636,2.0665
32.111,2.4276,-0.9546,2.19
32.179,2.4289,-0.9495,2.3091
32.247,2.4284,-0.9465,2.4231
32.315,2.4381,-0.9563,2.5315
32.383,2.4538,-0.971,2.6348
32.451,2.4641,-0.9782,2.734
32.519,2.4937,-0.9912,2.8287
32.588,2.5153,-1.0001,2.9218
32.656,2.5578,-1.0066,3.0092
32.724,2.583,-1.0096,3.0939
32.792,2.6352,-1.0103,3.1744
32.86,2.6578,-1.0083,3.2511
32.928,2.6934,-1.0045,3.3236
33.013,2.7141,-1.0001,3.4088
33.081,2.7236,-0.9978,3.4719
33.149,2.7283,-0.9989,3.5299
33.217,2.7263,-1.003,3.5828
33.285,2.7188,-1.007,3.6307
33.355,2.7129,-1.0102,3.6748
33.422,2.7085,-1.0129,3.7136
33.491,2.7052,-1.015,3.7478
33.558,2.7031,-1.0165,3.7772
33.627,2.7017,-1.0174,3.8022
33.695,2.7008,-1.0181,3.822
33.78,2.7001,-1.0187,3.8398
33.848,2.6997,-1.019,3.8485
33.916,2.6996,-1.0191,3.8521
33.985,2.6997,-1.0191,3.8506
34.069,2.7002,-1.0186,3.8415
34.137,2.701,-1.018,3.8284
34.205,2.7117,-1.0137,3.8118
34.273,2.7252,-1.0089,3.7951
34.359,2.7423,-1.0029,3.774
34.427,2.7559,-0.9981,3.7573
34.496,2.7694,-0.9933,3.7403
34.564,2.7721,-0.9923,3.7244
34.632,2.7549,-1.0043,3.7064
34.717,2.7471,-1.0074,3.6829
34.785,2.7584,-1.001,3.662
34.853,2.7481,-1.008,3.6393
34.921,2.7418,-1.0097,3.6158
34.989,2.7559,-1.0027,3.5902
35.057,2.7492,-1.0074,3.5626
35.125,2.7451,-1.0075,3.5339
35.193,2.7576,-1.0038,3.503
35.261,2.7466,-1.0084,3.4704
35.329,2.7506,-1.0056,3.4359
35.397,2.7509,-1.0069,3.3991
35.465,2.744,-1.0074,3.3608
35.534,2.7495,-1.0074,3.3197
35.601,2.7408,-1.008,3.2764
35.669,2.7411,-1.0086,3.2303
35.737,2.7378,-1.0087,3.1817
35.805,2.7287,-1.009,3.1301
35.873,2.7239,-1.0086,3.0752
35.942,2.7195,-1.008,3.016
36.01,2.7121,-1.0073,2.9545
36.078,2.6998,-1.0051,2.8898
36.146,2.6868,-1.0006,2.8221
36.214,2.6778,-0.9967,2.7515
36.283,2.6642,-0.9916,2.6772
36.351,2.6451,-0.9808,2.6014
36.419,2.6317,-0.9715,2.523
36.487,2.6156,-0.9597,2.4422
36.573,2.5918,-0.9376,2.3365
36.642,2.5961,-0.9284,2.2523
36.71,2.6139,-0.9202,2.1676
36.778,2.6317,-0.9126,2.0842
36.848,2.6501,-0.9053,1.9995
36.915,2.6624,-0.8929,1.9166
36.983,2.644,-0.8399,1.8265
37.051,2.6292,-0.7688,1.735
37.119,2.6216,-0.7045,1.6426
37.187,2.6196,-0.6271,1.5514
37.255,2.6175,-0.5642,1.4618
37.323,2.6057,-0.5467,1.3765
37.408,2.5841,-0.5881,1.2763
37.476,2.5624,-0.6507,1.1991
37.544,2.538,-0.7077,1.1224
37.613,2.5189,-0.7444,1.0468
37.698,2.501,-0.7724,0.9498
37.767,2.4932,-0.7831,0.8726
37.868,2.5011,-0.7746,0.7601
37.937,2.504,-0.7724,0.6851
38.005,2.4867,-0.7856,0.6128
38.074,2.4714,-0.7954,0.5393
38.141,2.4834,-0.7855,0.4698
38.21,2.5012,-0.7771,0.4004
38.295,2.4922,-0.7845,0.3157
38.379,2.4577,-0.7943,0.2339
38.448,2.4583,-0.791,0.1706
38.532,2.4771,-0.7883,0.0929
38.6,2.4681,-0.7898,0.0316
38.668,2.4348,-0.7898,-0.027
38.736,2.4165,-0.79,-0.0851
38.804,2.4295,-0.7917,-0.1404
38.874,2.436,-0.7916,-0.1969
38.942,2.4088,-0.7831,-0.2506
39.01,2.3798,-0.7757,-0.3029
39.078,2.3834,-0.7802,-0.3526
39.147,2.3922,-0.7836,-0.4026
39.216,2.3747,-0.7713,-0.4494
39.284,2.3484,-0.7582,-0.4924
39.352,2.3497,-0.763,-0.5357
39.421,2.36,-0.7626,-0.5778
39.49,2.3698,-0.7619,-0.6182
39.558,2.3795,-0.7611,-0.6585
39.627,2.3888,-0.7602,-0.6976
39.696,2.3987,-0.7591,-0.7397
39.78,2.3756,-0.7321,-0.7913
39.865,2.3354,-0.6895,-0.8439
39.934,2.3341,-0.6873,-0.8827
40.019,2.3145,-0.6639,-0.9278
40.088,2.3033,-0.6461,-0.9612
40.172,2.2973,-0.6401,-0.9995
40.241,2.2774,-0.6087,-1.0278
40.309,2.2734,-0.5979,-1.0531
40.378,2.2643,-0.586,-1.077
40.446,2.247,-0.5528,-1.0982
40.515,2.2445,-0.543,-1.1167
40.583,2.2355,-0.5294,-1.1339
40.651,2.2203,-0.4959,-1.1485
40.72,2.2185,-0.4864,-1.1607
40.789,2.211,-0.4746,-1.1712
40.857,2.1973,-0.4415,-1.1796
40.928,2.1956,-0.4315,-1.1856
40.996,2.1901,-0.4231,-1.1901
41.065,2.1779,-0.3929,-1.1921
41.133,2.1763,-0.383,-1.192
41.201,2.1732,-0.3796,-1.1907
41.269,2.1625,-0.3538,-1.1868
41.337,2.1604,-0.3432,-1.1812
41.406,2.1601,-0.3451,-1.1742
41.473,2.1505,-0.3247,-1.1648
41.541,2.1478,-0.3137,-1.1541
41.609,2.1504,-0.3204,-1.1416
41.677,2.133,-0.2977,-1.1259
41.745,2.1086,-0.2461,-1.1058
41.813,2.0922,-0.2141,-1.0834
41.881,2.0664,-0.1695,-1.0595
41.949,2.0372,-0.1189,-1.0347
42.035,2.017,-0.0837,-1.0009
42.12,1.9849,-0.0372,-0.9647
42.187,1.958,0.0013,-0.9349
42.255,1.9448,0.0193,-0.9028
42.323,1.9211,0.0476,-0.869
42.391,1.8941,0.0786,-0.8348
42.46,1.8831,0.0907,-0.7983
42.527,1.8639,0.1097,-0.7601
42.595,1.8617,0.1195,-0.7216
42.663,1.873,0.1267,-0.6836
42.731,1.8843,0.1341,-0.6457
42.799,1.8955,0.1414,-0.6077
42.867,1.9067,0.1488,-0.5698
42.935,1.9175,0.1565,-0.5318
43.004,1.9049,0.1686,-0.4917
43.072,1.8961,0.1718,-0.4489
43.157,1.9017,0.1693,-0.3943
43.242,1.9044,0.1693,-0.3388
43.31,1.8938,0.1728,-0.293
43.379,1.8869,0.174,-0.2466
43.448,1.9031,0.1697,-0.1986
43.517,1.925,0.1658,-0.1495
43.586,1.9396,0.1644,-0.0993
43.654,1.9461,0.1638,-0.0488
43.738,1.9709,0.1634,0.0154
43.806,2.0085,0.1649,0.0684
43.874,2.0424,0.1676,0.1219
43.942,2.0651,0.1709,0.1768
44.01,2.095,0.178,0.232
44.078,2.1455,0.1915,0.2889
44.146,2.1968,0.2074,0.3463
44.215,2.233,0.2215,0.4054
44.283,2.2732,0.2405,0.4643
44.367,2.3473,0.2818,0.5408
44.435,2.4036,0.3171,0.6027
44.503,2.4493,0.3507,0.6658
44.571,2.4969,0.3906,0.7293
44.656,2.5665,0.4581,0.8108
44.742,2.6197,0.5185,0.895
44.81,2.6546,0.565,0.9621
44.878,2.6677,0.5885,1.029
44.947,2.6743,0.5988,1.0961
45.014,2.6979,0.6292,1.1657
45.082,2.7101,0.6497,1.2366
45.15,2.7264,0.6737,1.3095
45.218,2.7396,0.6943,1.384
45.286,2.7507,0.7143,1.4598
45.354,2.7551,0.758,1.5352
45.422,2.755,0.8168,1.6091
45.507,2.7471,0.9064,1.7034
45.577,2.7339,0.9831,1.7806
45.662,2.7127,1.0669,1.8766
45.73,2.6923,1.1237,1.9555
45.799,2.6633,1.1863,2.0356
45.884,2.6178,1.267,2.1351
45.952,2.5782,1.3245,2.2142
46.02,2.5312,1.3823,2.2928
46.105,2.472,1.4448,2.389
46.173,2.4359,1.4763,2.4638
46.242,2.3941,1.5092,2.5377
46.309,2.3213,1.5575,2.6084
46.378,2.2477,1.5962,2.6784
46.462,2.1916,1.6201,2.7618
46.53,2.1407,1.6417,2.8275
46.598,2.0729,1.6596,2.89
46.666,2.047,1.6711,2.9527
46.735,2.0164,1.6851,3.0131
46.819,1.9612,1.6949,3.0867
46.887,1.9139,1.6961,3.1467
46.955,1.8667,1.6944,3.2067
47.024,1.7949,1.686,3.2643
47.091,1.7075,1.6728,3.3203
47.159,1.6346,1.6607,3.375
47.228,1.5885,1.6485,3.4272
47.297,1.5452,1.6333,3.4795
47.365,1.4795,1.607,3.529
47.451,1.412,1.5802,3.5908
47.518,1.3958,1.5738,3.6387
47.586,1.3892,1.57,3.6857
47.654,1.3644,1.5515,3.7301
47.723,1.3363,1.532,3.774
47.791,1.3299,1.5302,3.8165
